recipient,first_block,amount_cell,txs,share_of_total_out_percent
0xaae35d6b490a6fd91cd43cecbe2cc373abbea577,24976271,6872.625361,1,0.1374497582248355032899342013
0x583c519cc75aac7618c5707d321c8558642a2283,23703536,6759.0468,2,0.1351782324353512929741405172
0x0f3ecff8c6301d4ac885cee98ec28a7b2b3b66ea,23515969,6642.1539,1,0.1328404211915761684766304674
0x27dd004342b185353ffa6423ca7629a480968fec,23441827,6501,2,0.1300173996520069598608027839
0xbb3a74c755dc95898c741d1620d2d98928419690,23322431,6443.8796,1,0.1288750144997100057998840023
0x86ba94bab0487e72d18ff227d08ac8ae09769a0b,28591914,6381.904976280786834703,1,0.1276355468146794431051978960
0xc6fcca7129520eeffe9b6a997fe76a26c14ecd1e,24750971,6295.8218645,3,0.1259139190116197676046479070
0x285e791ca33e583a0a56e16cc29a64ea4a3971f1,27308558,6288.2071813281045,1,0.1257616283939942101157976840
0x0400a38944d0c790c746a842561a0197b4b6dd6f,25376899,6260.8737,1,0.1252149697006059878802423952
0x2a9340b352c071a871025b97f5e985d89ad2a20e,29720104,6170.0484,1,0.1233985000299994000119997600
0xa688e0f81c431ef12453a69a2ae902fdc63c4eee,31849812,6157,1,0.1231375372492550148997020060
0xd0571b30b18981f09b1d23f168bcf66bf5b15220,22860321,6127.049,1,0.1225385292294154116917661647
0x8db4d18c3b8e3a0d008f751d32057c20e663c534,25311214,6092.0403,1,0.1218383692326153476930461391
